"ID","Url","Domain","Infos","Status","Status-txt","X","Y","Degree-2018","Degree","Creation","Last-update","Last-url","First-social","Note-first-social","Url-first-social","Pseudo","Mentions","Blog-users","Stable-users","Death-url","Prev-url","X-prev","Y-prev","Note-prev","Note-prev-url","Post-url","Note-post","Creation-post-url","Fb","Fb-countries","Follow-fb","Creation-fb","Degree-fb","X-fb","Y-fb","Tw","Tw-countries","Follow-tw","Creation-tw","Degree-tw","X-tw","Y-tw","Yt","Degree-yt","X-yt","Y-yt","Md","Degree-md","X-md","Y-md","Fk","Degree-fk","X-fk","Y-fk"
21,"http://louladekhmissbatata.wordpress.com/","louladekhmissbatata.wordpress.com",,3,"alive",226,568,15,22,2007,2009,"https://web.archive.org/web/20090308081917/http://louladekhmissbatata.wordpress.com:80/","NA","NA","NA","Louladekhmissbatata - louladekhmissbatataprise2 ","NA","NA","NA","https://web.archive.org/web/20111106094848/http://louladekhmissbatata.wordpress.com/2009/03/06/desobeissances-v-avant-le-depart/","NA",-30,568,"† Mars 2009","NA","https://louladekhmissbatataprise2.com/","† Mars 2009",2010,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
22,"http://fatima-salma.over-blog.com/","fatima-salma.over-blog.com",,0,"dead",62,317,0,3,2007,2008,"https://web.archive.org/web/20081229055011/http://fatima-salma.over-blog.com:80/","NA","NA","NA","Fatima - salma ","NA","NA","NA","https://web.archive.org/web/20080814143944/http://fatima-salma.over-blog.com:80/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
23,"http://supertimba.skynetblogs.be/","supertimba.skynetblogs.be",,1,"not updated",168,372,5,6,2004,2009,"http://supertimba.skynetblogs.be/","NA","NA","NA","supertimba","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
24,"http://soumiaz.blogspot.com/","soumiaz.blogspot.com",,1,"not updated",231,330,3,3,2005,2015,"http://soumiaz.blogspot.com/","NA","NA","NA","soumiaz76","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
25,"http://sonofwords.blogspot.com/","sonofwords.blogspot.com",,1,"not updated",194,515,5,8,2006,2014,"http://sonofwords.blogspot.com/","NA","NA","NA","abMoul","NA",82,34,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/abmoul ","None:3918;Morocco:1998;France:266;United-States:184;Canada:67;Misc:797",7230,2009,42,194,485,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
26,"http://sahara-libre.blogspot.com/","sahara-libre.blogspot.com",,1,"not updated",400,105,3,3,2004,2009,"http://sahara-libre.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","http://sahara-libre.blogspot.fr/2009/12/avis-aviso-anouncement.html","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/wsahara1","None:392;Spain:198;Morocco:79;United-States:41;United-Kingdom:30;Misc:226",966,2016,30,400,84,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
27,"http://purplemind-candysha.blogspot.com/","purplemind-candysha.blogspot.com",,1,"not updated",261,600,3,3,2007,2008,"http://purplemind-candysha.blogspot.com/","NA","NA","NA","candysha","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
28,"http://poliquonautemarocain.blogspot.com/","poliquonautemarocain.blogspot.com",,1,"not updated",184,409,5,8,2005,2014,"http://poliquonautemarocain.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
29,"http://nowbi.over-blog.com/","nowbi.over-blog.com",,1,"not updated",254,34,3,3,2005,2011,"http://nowbi.over-blog.com/","NA","NA","NA","l'élement N","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
30,"http://myrtus.typepad.com/","myrtus.typepad.com",,1,"not updated",374,473,6,9,2006,2015,"http://myrtus.typepad.com/","NA","NA","NA","myrtus","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.facebook.com/Myrtus1/","United-States:65;Morocco:23;Netherlands:15;Misc:53",157,2010,30,400,473,"https://twitter.com/najia7 ","None:798;United-States:1709;United-Kingdom:156;Morocco:102;Misc:702",3467,2009,33,401,438,"NA","NA","NA","NA","NA","NA","NA","NA","https://www.pinterest.fr/najiamyrtus/",30,434,473
